Page Path,Page Title,Pageviews,Avg Session Duration (s),Bounce Rate,Engagement Rate
"/","Screen Patio Enclosures, Clear Vinyl Winter Panels & Mosquito Netting","469451","72.186153462417778","0.11918666666666666","0.88081333333333334"
"/clear-vinyl-plastic-patio-enclosures/","Clear Vinyl Plastic Patio Enclosures - Mosquito Curtains","317205","74.1843492434518","0.11181547541326091","0.88818452458673913"
"/screened-porch/","Screened Porch - Mosquito Curtains","302381","96.196954276434155","0.067836781293581228","0.93216321870641872"
"/screen-patio/","Screen Patio - Mosquito Curtains","265089","99.1224135462441","0.071328079891352966","0.92867192010864708"
"/screened-porch-enclosures/","Screen Porch Enclosures - Mosquito Curtains","248580","56.85832750390189","0.025703539315892018","0.974296460684108"
"/mosquito-netting/","Mosquito Netting - Mosquito Curtains","242411","130.41389364001498","0.07451960346195588","0.92548039653804415"
"/options/","Options - Mosquito Curtains","192957","127.52008400387928","0.064458402892040884","0.93554159710795914"
"/cart/","Cart - Mosquito Curtains","150337","416.91906565054023","0.087147743932236524","0.91285225606776343"
"/fb/mc-quote/","MC Quote - Mosquito Curtains","133072","52.92794727024836","0.18629228388237895","0.813707716117621"
"/project-gallery/mosquito-netting-1/","Mosquito Netting Gallery - Mosquito Curtains","116334","117.74258808264055","0.048241543413439704","0.95175845658656033"
"/mosquito-curtains-instant-quote/","Mosquito Curtains Instant Quote - Mosquito Curtains","113600","171.83717666861887","0.050883205905615611","0.94911679409438443"
"/contact/","Contact - Mosquito Curtains","99793","90.848083665437969","0.16634087312668713","0.83365912687331289"
"/install/","Install - Mosquito Curtains","57206","80.223571892889552","0.017363688855893757","0.98263631114410621"
"/mosquito-curtains-tracking-installation/","Mosquito Curtains Tracking Installation - Mosquito Curtains","51671","454.63319568690929","0.061405820563984789","0.9385941794360152"
"/clear-vinyl-instant-quote/","Clear Vinyl Instant Quote - Mosquito Curtains","49384","146.40412880125083","0.049949630624580257","0.95005036937541976"
"/fb/cv-quote/","CV Quote - Mosquito Curtains","46304","46.595707650586434","0.15918604169256911","0.84081395830743089"
"/clear-vinyl-options/","Clear Vinyl Options - Mosquito Curtains","44522","131.14079902288557","0.03691542288557214","0.96308457711442785"
"/screened-in-decks/","Screened in Decks - Mosquito Curtains","44359","87.91389266582982","0.094952030843719185","0.90504796915628083"
"/no-see-um-netting-screen/","No-See-Um Netting Screen - Mosquito Curtains","44263","127.36541331285341","0.084818246614397713","0.91518175338560226"
"/plan-screen-porch/outdoor-curtain-tracking/","Outdoor Curtain Tracking - Mosquito Curtains","43561","188.01615434486112","0.046792159151709714","0.95320784084829024"
